x,y,FCO2
730837,4720827,106.157
729793,4719322,106.859
730104,4719021,114.486
728985,4719252,115.313
731299,4721108,116.376
730769,4721426,117.044
730908,4721201,117.12
729149,4718703,121.786
730651,4720377,124.232
730961,4721184,124.624
730697,4719762,128.793
731216,4721338,129.297
728927,4718290,130.101
731321,4722386,131.289
731235,4722430,131.334
730513,4720698,132.081
731313,4721005,132.721
731355,4720998,142.725
730800,4721094,152.082
731303,4721293,156.35
731119,4721539,156.363
730806,4721207,158.805
731915,4721970,164.158
729519,4720358,166.057
730348,4720706,168.662
728953,4718682,169.046
731165,4721152,175.844
731240,4722400,185.959
730786,4721153,190.13
730690,4720432,191.548
730896,4721003,203.77
731301,4721209,204.479
729109,4718740,205.04
729132,4718536,214.205
730868,4720914,214.594
731284,4721320,239.681
731789,4722388,245.92
729032,4718733,258.915
730733,4720842,261.207
731780,4722255,279.31
728962,4718703,293.659
731269,4722430,308.324
728949,4718625,309.893
729092,4718836,311.469
730770,4721004,320.639
730131,4719836,338.156
730933,4721087,352.154
729102,4718488,453.173
731925,4722400,516.75
729199,4718650,516.891
729060,4718690,541.543
728985,4718718,549.913
729053,4718432,568.069
729002,4718854,682.428
729053,4718825,764.072
731695,4722763,914.78
729003,4718367,918.721
731184,4720914,1001.088
728989,4718669,1125.749
728971,4718322,1190.314
729067,4718512,1194.893
729033,4718771,1232.847
731354,4721144,1243.991
730136,4719841,1609.5
729675,4719503,2038.7
729018,4718761,2682.5
