x,y,CO2flux
515307,4048183,5.37
515328,4048120,2.48
515293,4048143,1.98
515258,4048163,26.31
515220,4048181,4.53
515187,4048207,4.6
515165,4048244,2.83
515133,4048274,4.03
515100,4048306,3.75
515074,4048341,6.29
515040,4048306,11.95
515067,4048263,2.69
515105,4048240,2.4
515148,4048226,1.41
515209,4048143,0.35
515244,4048110,1.27
515292,4048088,3.82
515322,4048071,99.43
515340,4048037,12.16
515403,4048139,33.95
515430,4048110,18.18
515465,4048089,43.7
515497,4048064,247.59
515522,4048035,141.58
515550,4048011,672.05
515573,4047997,33.59
515513,4047980,320.29
515485,4048003,104.81
515458,4048034,82.67
515418,4048058,78.71
515398,4048094,283.02
515103,4048454,8.42
515073,4048486,35.43
515040,4048514,28.85
515010,4048539,16.62
514979,4048564,18.81
515013,4048593,27.72
515040,4048616,189.11
515001,4048626,116.19
514966,4048617,30.69
514944,4048591,14.57
514925,4048621,23.48
514945,4048656,62.45
514928,4048686,104.59
514950,4048716,141.79
515009,4048700,58.27
514938,4048708,78.22
514910,4048650,63.29
514894,4048679,65.77
514905,4048708,250.56
514878,4048721,683.86
514904,4048746,37.55
514923,4048740,72.06
514909,4048774,30.98
514921,4048800,0.64
514921,4048828,239.39
514885,4048830,60.39
514887,4048795,150.35
514879,4048755,9.83
514868,4048711,164.49
514864,4048642,3.61
514835,4048638,56.79
514836,4048681,9.69
514789,4048621,1057.97
514761,4048623,0.57
514724,4048608,0.07
514696,4048610,0.07
514659,4048614,0.07
514626,4048627,29.84
514623,4048664,61.24
514663,4048651,2.48
514656,4048688,60.82
514691,4048697,56.86
514695,4048659,0.07
514714,4048642,1.27
514723,4048709,593.34
514719,4048675,0.07
514750,4048683,1.56
514743,4048721,272.41
514722,4048745,226.3
514760,4048748,11.24
514768,4048777,10.61
514772,4048812,2.05
514763,4048844,10.82
514800,4048843,335.35
514816,4048862,4.53
514793,4048885,2.62
514855,4048835,3.39
514824,4048830,179.84
514846,4048807,73.48
514852,4048768,272.06
514851,4048726,17.54
514827,4048761,1.2
514818,4048799,23.69
514789,4048796,1.27
514806,4048765,2.83
514824,4048734,5.3
514784,4048738,1.06
514758,4048723,1.91
514757,4048694,15.06
514598,4048636,1.63
514569,4048618,74.04
514539,4048592,5.09
514510,4048571,2.33
514474,4048560,321.35
514494,4048528,2.19
514535,4048541,18.39
514570,4048563,14.78
514600,4048595,27.72
514633,4048580,19.38
514669,4048565,99.29
514620,4048548,19.52
514623,4048526,62.87
514589,4048510,27.37
514589,4048510,3.25
514555,4048499,2.97
514518,4048499,3.04
514517,4048442,87.2
515071,4048434,19.09
515043,4048466,14.85
515016,4048495,21.43
514989,4048525,8.98
514959,4048549,30.06
